Name,startByte,endByte,Type,Recommended,Description,Comment,Details
tracl,1,4,int32,*,Trace sequence number within line,Numbers continue to increase if the same line continues across multiple SEGY files,
tracr,5,8,int32,,Trace sequence number within SEGY file,Each file starts with trace sequence one,
fldr,9,12,int32,*,Original field record number,,
tracf,13,16,int32,*,Trace number within the original field record,,
ep,17,20,int32,,Energy source point number,Used when more than one record occurs at the same effective surface location.  It is recommended that the new entry defined in Trace Header bytes 197-202 be used for shotpoint number.,
cdp,21,24,int32,,Ensemble number,"i.e. CDP, CMP, CRP, etc.",
cdpt,25,28,int32,,Trace number within the ensemble,Each ensemble starts with trace number one,
trid,29,30,int16,*,Trace identification code,,"-1 = Other ,0 = Unknown ,1 = Seismic data,2 = Dead,3 = Dummy,4 = Time break,5 = Uphole,6 = Sweep,7 = Timing,8 = Waterbreak,9 = Near-field gun signature,10 = Far-field gun signature,11 = Seismic pressure sensor,12 = Multicomponent seismic sensor - Vertical"
nvs,31,32,int16,,Number of vertically summed traces yielding this trace,"1 is one trace, 2 is two summed traces, etc.",
nhs,33,34,int16,,Number of horizontally stacked traces yielding this trace,"1 is one trace, 2 is two summed traces, etc.",
duse,35,36,int16,,Data use,,"1=Production,2=Test"
offset,37,40,int32,,Distance from center of the source point to the center of the receiver group,negative if opposite to direction in which line is shot,
gelev,41,44,int32,,Receiver group elevation,All elevations above the Vertical datum are positive and below are negative. The scalar in Trace Header bytes 69-70 applies to these values. The units are feet or meters as specified in Binary File Header bytes 3255-3256). The Vertical Datum should be defined through a Location Data stanza.,
selev,45,48,int32,,Surface elevation at source,The scalar in Trace Header bytes 69-70 applies to these values. The units are feet or meters as specified in Binary File Header bytes 3255-3256). The Vertical Datum should be defined through a Location Data stanza.,
sdepth,49,52,int32,,Source depth below surface,A positive number. The scalar in Trace Header bytes 69-70 applies to these values. The units are feet or meters as specified in Binary File Header bytes 3255-3256). The Vertical Datum should be defined through a Location Data stanza.,
gdel,53,56,int32,,Datum elevation at receiver group,The scalar in Trace Header bytes 69-70 applies to these values. The units are feet or meters as specified in Binary File Header bytes 3255-3256). The Vertical Datum should be defined through a Location Data stanza.,
sdel,57,60,int32,,Datum elevation at source,The scalar in Trace Header bytes 69-70 applies to these values. The units are feet or meters as specified in Binary File Header bytes 3255-3256). The Vertical Datum should be defined through a Location Data stanza.,
swdep,61,64,int32,,Water depth at source,The scalar in Trace Header bytes 69-70 applies to these values. The units are feet or meters as specified in Binary File Header bytes 3255-3256). The Vertical Datum should be defined through a Location Data stanza.,
gwdep,65,68,int32,,Water depth at group,The scalar in Trace Header bytes 69-70 applies to these values. The units are feet or meters as specified in Binary File Header bytes 3255-3256). The Vertical Datum should be defined through a Location Data stanza.,
scalel,69,70,int16,,Scalar to be applied to all elevations and depths,"Applied to values in Trace Header bytes 41?68 to give the real value.  Scalar = 1, +10, +100, +1000, or +10,000.  If positive, scalar is used as a multiplier; if negative, scalar is used as a divisor.",
scalco,71,72,int16,,Scalar to be applied to all coordinates,"Applied to values in Trace Header bytes 73?88 and 181-188 to give the real value.  Scalar = 1, +10, +100, +1000, or +10,000.  If positive, scalar is used as a multiplier; if negative, scalar is used as divisor.",
sx,73,76,int32,,Source coordinate X,"The coordinate reference system should be identified through an extended header Location Data stanza. If the coordinate units are in seconds of arc, decimal degrees or DMS, the X values represent longitude and the Y values latitude.  A positive value designates east of Greenwich Meridian or north of the equator and a negative value designates south or west. ",
sy,77,80,int32,,Source coordinate Y,"The coordinate reference system should be identified through an extended header Location Data stanza. If the coordinate units are in seconds of arc, decimal degrees or DMS, the X values represent longitude and the Y values latitude.  A positive value designates east of Greenwich Meridian or north of the equator and a negative value designates south or west. ",
gx,81,84,int32,,Group coordinate X,"The coordinate reference system should be identified through an extended header Location Data stanza. If the coordinate units are in seconds of arc, decimal degrees or DMS, the X values represent longitude and the Y values latitude.  A positive value designates east of Greenwich Meridian or north of the equator and a negative value designates south or west. ",
gy,85,88,int32,,Group coordinate Y,"The coordinate reference system should be identified through an extended header Location Data stanza. If the coordinate units are in seconds of arc, decimal degrees or DMS, the X values represent longitude and the Y values latitude.  A positive value designates east of Greenwich Meridian or north of the equator and a negative value designates south or west. ",
counit,89,90,int16,,Coordinate units,Note: To encode ±DDDMMSS bytes 89-90 equal = ±DDD*104 + MM*102 + SS with bytes 71-72 set to 1; To encode ±DDDMMSS.ss bytes 89-90 equal = ±DDD*106 + MM*104 + SS*102 with bytes 71-72 set to -100.,"1 = Length (meters or feet),2 = Seconds of arc,3 = Decimal degrees,4 = Degrees, minutes, seconds (DMS)"
wevel,91,92,int16,,Weathering velocity,ft/s or m/s as specified in Binary File Header bytes 3255-3256,
swevel,93,94,int16,,Subweathering velocity,ft/s or m/s as specified in Binary File Header bytes 3255-3256,
sut,95,96,int16,,Uphole time at source in milliseconds,Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.,
gut,97,98,int16,,Uphole time at group in milliseconds,Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.,
sstat,99,100,int16,,Source static correction in milliseconds,Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.,
gstat,101,102,int16,,Group static correction in milliseconds,Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.,
tstat,103,104,int16,,Total static applied in milliseconds,Zero if no static has been applied. Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.,
laga,105,106,int16,,Lag time A,Time in milliseconds between end of 240?byte trace identification header and time break.  The value is positive if time break occurs after the end of header; negative if time break occurs before the end of header.  Time break is defined as the initiation pulse that may be recorded on an auxiliary trace or as otherwise specified by the recording system.  Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.,
lagb,107,108,int16,,Lag Time B,Time in milliseconds between time break and the initiation time of the energy source.  May be positive or negative. Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.,
delrt,109,110,int16,,Delay recording time,"Time in milliseconds between initiation time of energy source and the time when recording of data samples begins.  In SEG Y rev 0 this entry was intended for deep-water work if data recording does not start at zero time.  The entry can be negative to accommodate negative start times (i.e. data recorded before time zero, presumably as a result of static application to the data trace).  If a non-zero value (negative or positive) is recorded in this entry, a comment to that effect should appear in the Textual File Header. Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.",
muts,111,112,int16,,Mute start time in milliseconds,Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.,
mute,113,114,int16,,Mute end time in milliseconds,Time in milliseconds as scaled by the scalar specified in Trace Header bytes 215-216.,
ns,115,116,uint16,*,Number of samples in this trace,,
dt,117,118,uint16,*,Sample interval in microseconds for this trace,"The number of bytes in a trace record must be consistent with the number of samples written in the trace header.  This is important for all recording media; but it is particularly crucial for the correct processing of SEG Y data in disk files. If the fixed length trace flag in bytes 3503-3504 of the Binary File Header is set, the sample interval and number of samples in every trace in the SEG Y file must be the same as the values recorded in the Binary File Header.  If the fixed length trace flag is not set, the sample interval and number of samples may vary from trace to trace.",
gain,119,120,int16,,Gain type of field instruments,,"1=fixed,2=binary,3=floating point,N=optional"
igc,121,122,int16,,Instrument gain constant (dB),,
igi,123,124,int16,,Instrument early or initial gain (dB),,
corr,125,126,int16,,Correlated,,"1=no,2=yes"
sfs,127,128,int16,,Sweep frequency at start (Hz),,
sfe,129,130,int16,,Sweep frequency at end (Hz),,
slen,131,132,int16,,Sweep length in milliseconds,,
styp,133,134,int16,,Sweep type,,"1=linear,2=parabolic,3=exponential,4=other"
stas,135,136,int16,,Sweep trace taper length at start in milliseconds,,
stae,137,138,int16,,Sweep trace taper length at end in milliseconds,,
tatype,139,140,int16,,Taper type,,"1=linear,2=cos2,3=other"
afilf,141,142,int16,,Alias filter frequency (Hz),if used,
afils,143,144,int16,,Alias filter slope (dB/octave),,
nofilf,145,146,int16,,Notch filter frequency (Hz),,
nofils,147,148,int16,,Notch filter slope (dB/octave),,
lcf,149,150,int16,,Low-cut frequency (Hz),if used,
hcf,151,152,int16,,High-cut frequency (Hz),if used,
lcs,153,154,int16,,Low-cut slope (dB/octave),,
hcs,155,156,int16,,High-cut slope (dB/octave),,
year,157,158,int16,,Year data recorded,"The 1975 standard is unclear as to whether this should be recorded as a 2-digit or a 4-digit year and both have been used.  For SEG Y revisions beyond rev 0, the year should be recorded as the complete 4-digit Gregorian calendar year (i.e. the year 2001 should be recorded as 200110 (7D116))",
day,159,160,int16,,Day of year, Julian day for GMT and UTC time basis,
hour,161,162,int16,,Hour of day,24 hour clock,
minute,163,164,int16,,Minute of hour,,
sec,165,166,int16,,Second of minute,,
timbas,167,168,int16,,Time basis code,,"1=Local,2=GMT(Greenwich Mean Time),3=Other, should be explained in a user defined stanza in the Extended Textual File Header, 4=UTC (Coordinated Universal Time)"
trwf,169,170,int16,,Trace weighting factor,"Defined as 2^-N volts for the least significant bit.  (N = 0, 1, …, 32767)",
grnors,171,172,int16,,Geophone group number of roll switch position one,,
grnofr,173,174,int16,,Geophone group number of trace number one within original field record,,
grnlof,175,176,int16,,Geophone group number of last trace within original field record,,
gaps,177,178,int16,,Gap size,total number of groups dropped,
otrav,179,180,int16,,Over travel associated with taper at beginning or end of line,,"1=down (or behind),2=up (or ahead)"
cdpx,181,184,int32,,X coordinate of ensemble (CDP) position of this trace (scalar in Trace Header bytes 71-72 applies). The coordinate reference system should be identified through an extended header Location Data stanza (see section D-1).,,
cdpy,185,188,int32,,Y coordinate of ensemble (CDP) position of this trace (scalar in bytes Trace Header 71-72 applies). The coordinate reference system should be identified through an extended header Location Data stanza (see section D-1).,,
iline,189,192,int32,,"For 3-D poststack data, this field should be used for the in-line number.  If one in-line per SEG Y file is being recorded, this value should be the same for all traces in the file and the same value will be recorded in bytes 3205-3208 of the Binary File Header.",,
xline,193,196,int32,,"For 3-D poststack data, this field should be used for the cross-line number.  This will typically be the same value as the ensemble (CDP) number in Trace Header bytes 21-24, but this does not have to be the case.",,
sp,197,200,int32,,"Shotpoint number — This is probably only applicable to 2-D poststack data.  Note that it is assumed that the shotpoint number refers to the source location nearest to the ensemble (CDP) location for a particular trace.  If this is not the case, there should be a comment in the Textual File Header explaining what the shotpoint number actually refers to.",,
scalsp,201,202,int16,,"Scalar to be applied to the shotpoint number in Trace Header bytes 197-200 to give the real value.  If positive, scalar is used as a multiplier; if negative as a divisor; if zero the shotpoint number is not scaled (i.e. it is an integer.  A typical value will be -10, allowing shotpoint numbers with one decimal digit to the right of the decimal point).",,
tval,203,204,int16,,Trace value measurement unit,,"-1 = Other (should be described in Data Sample Measurement Units Stanza) , 0 = Unknown,  1 = Pascal (Pa),  2 = Volts (V),  3 = Millivolts (mV),  4 = Amperes (A), 5 = Meters (m) ,6 = Meters per second (m/s) ,7 = Meters per second squared (m/s2) ,8 = Newton"
tconstm,205,208,int32,,Transduction Constant mantissa,"The multiplicative constant used to convert the Data Trace samples to the Transduction Units (specified in Trace Header bytes 211-212).  The constant is encoded as a four-byte, two's complement integer (bytes 205-208) which is the mantissa and a two-byte, two's complement integer (bytes 209-210) which is the power of ten exponent (i.e. Bytes 205-208 * 10**Bytes 209-210)",
tconste,209,210,int16,,Transduction Constant exponent,,
tunit,211,212,int16,,Transduction Units,The unit of measurement of the Data Trace samples after they have been multiplied by the Transduction Constant specified in Trace Header bytes 205-210,"-1 = Other (should be described in Data Sample Measurement Unit stanza),0 = Unknown ,1 = Pascal (Pa) ,2 = Volts (V) ,3 = Millivolts (mV) ,4 = Amperes (A) ,5 = Meters (m) ,6 = Meters per second (m/s) ,7 = Meters per second squared (m/s2), 8 = Newton (N) ,9"
devtr,213,214,int16,,Device/Trace Identifier,The unit number or id number of the device associated with the Data Trace (i.e. 4368 for vibrator serial number 4368 or 20316 for gun 16 on string 3 on vessel 2).  This field allows traces to be associated across trace ensembles independently of the trace number (Trace Header bytes 25-28),
scalt,215,216,int16,,Scalar to be applied to times,"Apply to values stored in Trace Header bytes 95-114 to give the true time value in milliseconds.  Scalar = 1, +10, +100, +1000, or +10,000.  If positive, scalar is used as a multiplier; if negative, scalar is used as divisor.  A value of zero is assumed to be a scalar value of 1.",
stypeo,217,218,int16,,Source Type/Orientation,"Defines the type and the orientation of the energy source.  The terms vertical, cross-line and in-line refer to the three axes of an orthogonal coordinate system.  The absolute azimuthal orientation of the coordinate system axes can be defined in the Bin Grid Definition Stanza",
sedm,219,222,int32,,Source Energy Direction with respect to the source orientation mantissa?,The positive orientation direction is defined in Bytes 217-218 of the Trace Header.  The energy direction is encoded in tenths of degrees (i.e. 347.8º is encoded as 3478),
sede,223,224,int16,,Source Energy Direction with respect to the source orientation exponent?,The positive orientation direction is defined in Bytes 217-218 of the Trace Header.  The energy direction is encoded in tenths of degrees (i.e. 347.8 degrees is encoded as 3478),
smmtm,225,228,int32,,Source Measurement mantissa,"Describes the source effort used to generate the trace.  The measurement can be simple, qualitative measurements such as the total weight of explosive used or the peak air gun pressure or the number of vibrators times the sweep duration.  Although these simple measurements are acceptable, it is preferable to use true measurement units of energy or work. The constant is encoded as a four-byte, two's complement integer (bytes 225-228) which is the mantissa and a two-byte, two's complement integer (bytes 209-230) which is the power of ten exponent (i.e. Bytes 225-228 * 10**Bytes 229-230)",
smmte,229,230,int16,,Source Measurement exponent,,
smmtu,231,232,int16,,Source Measurement Unit,"The unit used for the Source Measurement, Trace header bytes 225-230","-1 = Other (should be described in Source Measurement Unit stanza, page 39),  0 = Unknown  1 = Joule (J) , 2 = Kilowatt (kW), 3 = Pascal (Pa),  4 = Bar (Bar),  4 = Bar-meter (Bar-m) , 5 = Newton (N) ,6 = Kilograms (kg)"
fbpicks,233,236,int32,,First Break Picks,,
scalfb,237,240,int32,,Scaling Factor for first breaks,,
